имхо;imho
спс;thx;tnx;thnx;tx
плиз;плз;плис;плс;плес;pls;пож;пжлст
gg;гг
рофл;rofl;лол;lol;лел;lel;кек;kek
афк;afk
омг;omg
рип;rip
бтв;btw
емнип;iirc
ирл;irl;рл;rl
лан
го
збс
пнх
о5
b4
np
m8
св
кст;кста
оч
мб
мож
хз
нзч
лю
пасиб
прив
ща
щас
ичсх
чсв
бро;бра;bro;bruh
жиза
лс;пм;pm
поч
сори;сорян
топ;топчик
бб;bb
