внушать
возбранять
заставлять
навязывать
настаивать
побуждать
поручать
посылать
распоряжаться
беседовать
болтать
бормотать
ворчать
вымолвить
высказывать
декламировать
диктовать
досказывать
заикаться
запевать
излагать
кликнуть
лгать
мямлить
наврать
наговаривать
намекать
обманывать
обмолвиться
обсуждать
объяснять
описывать
осведомляться
отговаривать
отказывать
отрицать
пересказывать
перечислять
поведывать
подтверждать
попрощаться
пояснять
преувеличивать
причитать
пробормотать
проговариваться
пролепетать
проповедовать
разбалтывать
разглагольствовать
разглашать
разговаривать
разъяснять
распоряжаться
рассказывать
рассуждать
сказать
говорить
совещать
совещаться
сообщать
сочинять
тараторить
твердить
толковать
трепать
уговаривать
упоминать
упрашивать
уславливаться
шептать
шутить
давать
допускать
желать
заверять
завещать
заклинать
заключать
извинять
клясться
молить
называть
освобождать
отменять
презирать
признавать
поздравлять
признаваться
прощать
ручаться
умолять
утверждать
инсинуировать
похваляться
подбивать
побуждать
подстрекать
поощрять
угрожать
ругать
поносить
высмеивать
льстить
вмешиваться
воспротивиться
запротестовать
оборвать
отклонять
прерывать
загреметь
греметь
зарычать
затрезвонить
шушукаться
фыркать
поливаться
прогреметь
раскудахтаться
возблагодарить
оскорблять
выражать
жалеть
запугивать
заступаться
извергать
изливать
изображать
накидываться
нападать
насмехаться
одобрять
окачивать
осквернять
передразнивать
подымать
поносить
посылать
пригрозить
пророчить
противоречить
прочитывать
разражаться
раскаиваться
разражаться
расписывать
острить
отрекаться
ходатайствовать
честить
